interaction_id,user_id,activity_id,interaction_type,rating,event_date,weather_context,group_type,synthetic
syn_i000089,syn_u0006,osm_way_1011757049,save,5,2025-08-12,hot,solo,true
syn_i000090,syn_u0006,osm_way_1315624938,save,4,2025-07-28,sunny,solo,true
syn_i000091,syn_u0006,osm_way_301970095,view,4,2025-05-19,rain,solo,true
syn_i000092,syn_u0006,osm_node_12413411644,save,4,2026-07-11,mild,solo,true
syn_i000093,syn_u0006,osm_way_1275386365,rating,4,2025-03-21,rain,solo,true
syn_i000094,syn_u0006,osm_way_1418673587,rating,4,2026-02-21,hot,solo,true
syn_i000095,syn_u0006,osm_way_561571930,save,5,2026-03-02,mild,solo,true
syn_i000096,syn_u0006,osm_node_12479624262,visit,4,2025-12-11,hot,solo,true
syn_i000097,syn_u0006,osm_way_477503334,save,5,2025-02-17,mild,solo,true
syn_i000098,syn_u0006,osm_way_1316824002,view,5,2025-10-28,mild,solo,true
syn_i000099,syn_u0006,osm_node_5597510821,visit,4,2025-06-07,rain,solo,true
syn_i000100,syn_u0006,osm_way_117150852,view,4,2025-05-17,rain,solo,true
syn_i000101,syn_u0006,osm_node_463772269,rating,4,2025-04-23,hot,solo,true
syn_i000102,syn_u0007,osm_way_933060487,visit,4,2025-11-24,rain,solo,true
syn_i000103,syn_u0007,osm_way_935180178,view,4,2025-03-26,hot,solo,true
syn_i000104,syn_u0007,osm_way_468926977,rating,3,2025-08-31,mild,solo,true
syn_i000105,syn_u0007,osm_node_10299258542,save,4,2025-03-13,rain,solo,true
syn_i000106,syn_u0007,osm_node_11954910291,view,3,2026-06-07,rain,solo,true
syn_i000107,syn_u0007,osm_node_4950087307,rating,4,2025-09-23,sunny,solo,true
syn_i000108,syn_u0007,osm_way_357170792,save,3,2026-01-16,hot,solo,true
syn_i000109,syn_u0007,osm_node_4374148243,rating,5,2025-04-22,rain,solo,true
syn_i000110,syn_u0007,osm_way_148003147,view,5,2025-03-26,sunny,solo,true
syn_i000111,syn_u0007,osm_way_468926992,visit,4,2025-10-26,mild,solo,true
syn_i000112,syn_u0007,osm_way_972110413,save,4,2025-05-19,rain,solo,true
syn_i000113,syn_u0007,osm_node_11585849424,save,4,2025-05-18,rain,solo,true
syn_i000114,syn_u0007,osm_way_634418490,rating,4,2025-03-03,rain,solo,true
syn_i000115,syn_u0007,osm_way_817283679,rating,5,2025-11-29,hot,solo,true
syn_i000116,syn_u0008,osm_node_2637241462,visit,5,2025-08-05,rain,solo,true
syn_i000117,syn_u0008,osm_way_940067368,view,4,2025-06-29,rain,solo,true
syn_i000118,syn_u0008,osm_node_9354883876,view,5,2025-08-24,mild,solo,true
syn_i000119,syn_u0008,osm_way_69032470,visit,4,2025-09-17,hot,solo,true
syn_i000120,syn_u0008,osm_way_24222973,visit,5,2025-01-01,mild,solo,true
syn_i000121,syn_u0008,osm_node_9953947674,view,5,2026-07-07,mild,solo,true
syn_i000122,syn_u0008,osm_node_8722619583,visit,5,2025-03-20,mild,solo,true
syn_i000123,syn_u0008,osm_way_99687084,visit,4,2026-07-18,sunny,solo,true
syn_i000124,syn_u0008,osm_node_968356991,save,5,2025-09-09,sunny,solo,true
syn_i000125,syn_u0008,osm_way_25050310,view,5,2025-06-07,sunny,solo,true
syn_i000126,syn_u0008,osm_node_7707827581,visit,5,2025-03-31,sunny,solo,true
syn_i000127,syn_u0008,osm_node_2339601284,save,4,2025-02-03,sunny,solo,true
syn_i000128,syn_u0008,osm_way_48162927,save,4,2025-05-19,sunny,solo,true
syn_i000129,syn_u0008,osm_way_941913562,visit,5,2026-05-10,hot,solo,true
syn_i000130,syn_u0008,osm_way_288325533,view,5,2025-06-20,hot,solo,true
syn_i000131,syn_u0008,osm_way_120481450,save,5,2025-07-02,sunny,solo,true
syn_i000132,syn_u0009,osm_node_3814719035,view,5,2025-02-15,hot,family,true
syn_i000133,syn_u0009,osm_node_2704825508,rating,5,2025-06-08,rain,family,true
syn_i000134,syn_u0009,osm_node_2351695731,view,5,2026-02-02,rain,family,true
syn_i000135,syn_u0009,osm_node_8493476835,save,5,2025-12-13,hot,family,true
syn_i000136,syn_u0009,osm_way_50419095,save,4,2026-04-01,hot,family,true
syn_i000137,syn_u0009,osm_node_4217400413,visit,5,2026-04-28,sunny,family,true
syn_i000138,syn_u0009,osm_way_234053991,visit,5,2025-04-03,hot,family,true
syn_i000139,syn_u0009,osm_node_4346366056,visit,5,2026-01-31,mild,family,true
syn_i000140,syn_u0009,osm_node_11882656388,rating,5,2026-01-17,mild,family,true
syn_i000141,syn_u0009,osm_way_57391649,save,4,2025-03-23,mild,family,true
syn_i000142,syn_u0009,osm_node_2270112963,visit,5,2025-12-23,mild,family,true
syn_i000143,syn_u0009,osm_node_6056567896,visit,5,2026-06-27,mild,family,true
syn_i000144,syn_u0009,osm_way_363400641,rating,5,2025-12-07,rain,family,true
syn_i000145,syn_u0010,osm_way_1414998113,view,3,2025-03-04,mild,solo,true
syn_i000146,syn_u0010,osm_way_551790964,visit,4,2025-05-12,mild,solo,true
syn_i000147,syn_u0010,osm_way_32490752,save,4,2026-02-19,sunny,solo,true
syn_i000148,syn_u0010,osm_way_27113100,view,5,2025-02-26,rain,solo,true
syn_i000149,syn_u0010,osm_way_622444220,view,3,2025-10-02,rain,solo,true
syn_i000150,syn_u0010,osm_way_452935956,save,4,2025-12-31,rain,solo,true
syn_i000151,syn_u0010,osm_way_449158604,visit,3,2025-11-01,mild,solo,true
syn_i000152,syn_u0010,osm_way_450893357,save,3,2025-09-04,rain,solo,true
syn_i000153,syn_u0010,osm_way_452935895,view,4,2026-04-21,mild,solo,true
syn_i000154,syn_u0010,osm_node_13424627630,save,5,2025-06-21,rain,solo,true
syn_i000155,syn_u0010,osm_node_13754179841,visit,3,2026-01-16,mild,solo,true
syn_i000156,syn_u0010,osm_way_449158568,visit,4,2026-01-15,sunny,solo,true
syn_i000157,syn_u0010,osm_node_2078416195,visit,4,2026-03-28,hot,solo,true
syn_i000158,syn_u0011,osm_way_136511363,view,3,2026-07-13,rain,friends,true
syn_i000159,syn_u0011,osm_way_220021755,view,5,2025-01-03,rain,friends,true
syn_i000160,syn_u0011,osm_way_117150848,view,5,2026-04-24,mild,friends,true
syn_i000161,syn_u0011,osm_way_760586281,view,5,2025-04-20,rain,friends,true
syn_i000162,syn_u0011,osm_node_3629670300,view,5,2026-03-24,mild,friends,true
syn_i000163,syn_u0011,osm_way_1288163120,rating,5,2026-06-12,rain,friends,true
syn_i000164,syn_u0011,osm_way_26197553,save,5,2026-06-16,sunny,friends,true
syn_i000165,syn_u0011,osm_way_116605491,view,3,2025-04-21,hot,friends,true
syn_i000166,syn_u0011,osm_node_2708233532,rating,4,2025-04-18,mild,friends,true
syn_i000167,syn_u0011,osm_way_1326118034,visit,5,2026-08-02,hot,friends,true
syn_i000168,syn_u0011,osm_way_231354241,rating,5,2025-02-07,sunny,friends,true
syn_i000169,syn_u0011,osm_way_264543836,rating,5,2026-07-04,sunny,friends,true
syn_i000170,syn_u0011,osm_relation_10219025,rating,5,2025-05-28,sunny,friends,true
syn_i000171,syn_u0011,osm_node_10049884675,rating,4,2025-06-19,mild,friends,true
syn_i000172,syn_u0011,osm_way_164021911,view,5,2025-01-23,mild,friends,true
syn_i000173,syn_u0011,osm_way_210157653,save,5,2025-07-11,mild,friends,true
syn_i000174,syn_u0011,osm_way_157655071,visit,5,2026-02-11,hot,friends,true
syn_i000175,syn_u0011,osm_node_4541428858,view,5,2026-02-27,sunny,friends,true
syn_i000176,syn_u0011,osm_node_12060493283,save,5,2026-07-31,mild,friends,true
syn_i000177,syn_u0012,osm_way_91526195,rating,3,2026-04-18,sunny,solo,true
syn_i000178,syn_u0012,osm_way_210523681,visit,5,2025-09-07,hot,solo,true
syn_i000179,syn_u0012,osm_node_10198279573,visit,4,2026-05-22,rain,solo,true
syn_i000180,syn_u0012,osm_node_5169949885,visit,4,2025-05-13,rain,solo,true
syn_i000181,syn_u0012,osm_way_210170884,rating,3,2026-02-05,sunny,solo,true
syn_i000182,syn_u0012,osm_node_10960680638,view,4,2025-01-27,rain,solo,true
syn_i000183,syn_u0012,osm_way_258588447,view,5,2025-07-05,mild,solo,true
syn_i000184,syn_u0012,osm_way_218162319,view,2,2026-04-09,hot,solo,true
syn_i000185,syn_u0012,osm_way_686708805,save,5,2025-07-26,hot,solo,true
syn_i000186,syn_u0012,osm_node_8910095375,view,4,2026-07-30,hot,solo,true
syn_i000187,syn_u0012,osm_way_210292019,visit,3,2025-01-16,hot,solo,true
syn_i000188,syn_u0012,osm_way_414261166,visit,5,2026-01-08,sunny,solo,true
syn_i000189,syn_u0012,osm_node_12941177780,view,4,2025-06-08,hot,solo,true
syn_i000190,syn_u0012,osm_way_165037939,rating,5,2026-07-26,sunny,solo,true
syn_i000191,syn_u0012,osm_way_428233157,save,5,2026-05-16,hot,solo,true
syn_i000192,syn_u0012,osm_node_13167827987,view,5,2026-02-03,hot,solo,true
syn_i000193,syn_u0013,osm_node_257537264,view,4,2026-06-15,rain,couple,true
syn_i000194,syn_u0013,osm_way_244558109,rating,5,2026-06-18,rain,couple,true
syn_i000195,syn_u0013,osm_node_367778081,view,4,2026-01-28,rain,couple,true
syn_i000196,syn_u0013,osm_way_509517690,visit,4,2025-05-02,mild,couple,true
syn_i000197,syn_u0013,osm_way_9744318,rating,5,2025-01-28,hot,couple,true
syn_i000198,syn_u0013,osm_way_29606898,rating,4,2026-05-15,rain,couple,true
syn_i000199,syn_u0013,osm_node_9654955515,view,5,2026-02-15,rain,couple,true
syn_i000200,syn_u0013,osm_node_11218553110,view,5,2025-05-30,hot,couple,true
syn_i000201,syn_u0013,osm_way_25123637,view,4,2025-05-20,mild,couple,true
syn_i000202,syn_u0013,osm_way_29862910,rating,5,2025-07-24,mild,couple,true
syn_i000203,syn_u0013,osm_way_29837792,visit,4,2026-08-02,mild,couple,true
syn_i000204,syn_u0013,osm_way_29830595,save,5,2025-10-20,sunny,couple,true
syn_i000205,syn_u0013,osm_relation_20005288,view,5,2026-02-26,mild,couple,true
syn_i000206,syn_u0013,osm_way_761588940,view,4,2026-03-01,hot,couple,true
syn_i000207,syn_u0013,osm_way_40038032,view,4,2025-02-01,rain,couple,true
syn_i000208,syn_u0014,osm_node_11408395509,rating,4,2025-06-06,mild,solo,true
syn_i000209,syn_u0014,osm_node_13816371073,visit,5,2025-12-23,hot,solo,true
syn_i000210,syn_u0014,osm_node_10299258542,rating,5,2026-07-02,mild,solo,true
syn_i000211,syn_u0014,osm_node_366219828,visit,4,2026-07-23,rain,solo,true
syn_i000212,syn_u0014,osm_way_110360825,view,5,2025-01-02,rain,solo,true
syn_i000213,syn_u0014,osm_node_13449384901,rating,5,2025-08-05,hot,solo,true
syn_i000214,syn_u0014,osm_way_783489993,rating,5,2025-11-03,sunny,solo,true
syn_i000215,syn_u0014,osm_relation_17895897,save,5,2025-10-03,rain,solo,true
syn_i000216,syn_u0014,osm_node_359242538,save,4,2025-09-24,rain,solo,true
syn_i000217,syn_u0014,osm_way_907575080,visit,5,2026-01-26,mild,solo,true
syn_i000218,syn_u0014,osm_node_6202628206,save,5,2026-06-04,mild,solo,true
syn_i000219,syn_u0014,osm_way_924968635,save,5,2025-06-16,sunny,solo,true
syn_i000220,syn_u0014,osm_node_10298931493,rating,5,2026-01-10,sunny,solo,true
syn_i000221,syn_u0014,osm_way_1050584173,view,5,2025-05-05,rain,solo,true
syn_i000222,syn_u0014,osm_node_11090770112,save,4,2025-03-06,rain,solo,true
syn_i000223,syn_u0015,osm_node_2326560217,visit,5,2025-06-11,mild,friends,true
syn_i000224,syn_u0015,osm_way_301417613,view,5,2025-07-09,hot,friends,true
syn_i000225,syn_u0015,osm_node_1771090628,view,5,2026-02-27,sunny,friends,true
syn_i000226,syn_u0015,osm_node_2404244822,rating,5,2025-11-03,rain,friends,true
syn_i000227,syn_u0015,osm_way_297445742,view,3,2025-12-09,mild,friends,true
syn_i000228,syn_u0015,osm_node_2778623157,visit,5,2026-04-13,hot,friends,true
syn_i000229,syn_u0015,osm_node_2397460936,rating,5,2025-07-03,rain,friends,true
syn_i000230,syn_u0015,osm_relation_2518718,save,4,2025-09-22,hot,friends,true
syn_i000231,syn_u0015,osm_node_8739030562,view,5,2025-09-30,rain,friends,true
syn_i000232,syn_u0015,osm_node_3547665863,visit,5,2026-02-02,hot,friends,true
syn_i000233,syn_u0015,osm_way_49734705,visit,5,2026-04-17,sunny,friends,true
syn_i000234,syn_u0015,osm_node_10119744749,view,4,2025-03-02,sunny,friends,true
syn_i000235,syn_u0015,osm_way_254452877,save,4,2026-05-06,hot,friends,true
syn_i000236,syn_u0015,osm_way_183946101,view,2,2025-04-07,sunny,friends,true
syn_i000237,syn_u0015,osm_node_9903470494,rating,5,2025-12-21,rain,friends,true
syn_i000238,syn_u0015,osm_node_2404269534,rating,5,2025-11-26,sunny,friends,true
syn_i000239,syn_u0015,osm_node_3371285715,rating,5,2025-03-14,sunny,friends,true
syn_i000240,syn_u0015,osm_way_59037675,rating,5,2025-02-24,hot,friends,true
syn_i000241,syn_u0016,osm_way_115012139,save,5,2026-04-01,rain,friends,true
syn_i000242,syn_u0016,osm_way_361132951,view,4,2025-03-30,mild,friends,true
syn_i000243,syn_u0016,osm_way_947883108,visit,5,2025-07-25,rain,friends,true
syn_i000244,syn_u0016,osm_way_933654463,save,5,2025-07-13,mild,friends,true
syn_i000245,syn_u0016,osm_relation_21151379,view,5,2025-11-09,mild,friends,true
syn_i000246,syn_u0016,osm_way_1171839353,rating,4,2025-11-04,sunny,friends,true
syn_i000247,syn_u0016,osm_way_114986521,rating,3,2025-03-15,rain,friends,true
syn_i000248,syn_u0016,osm_way_468926977,save,4,2026-08-02,sunny,friends,true
syn_i000249,syn_u0016,osm_way_960940391,rating,5,2026-07-15,sunny,friends,true
syn_i000250,syn_u0016,osm_way_634418490,rating,4,2025-08-17,mild,friends,true
syn_i000251,syn_u0016,osm_way_155109495,visit,4,2026-05-23,sunny,friends,true
syn_i000252,syn_u0016,osm_way_118191295,visit,3,2026-04-20,mild,friends,true
syn_i000253,syn_u0016,osm_way_932659184,rating,5,2026-07-11,hot,friends,true
syn_i000254,syn_u0017,osm_way_781996197,visit,4,2026-02-12,hot,couple,true
syn_i000255,syn_u0017,osm_way_189703378,rating,5,2025-04-10,hot,couple,true
syn_i000256,syn_u0017,osm_way_25430119,view,5,2025-10-30,hot,couple,true
syn_i000257,syn_u0017,osm_node_8119283803,rating,5,2026-04-19,sunny,couple,true
syn_i000258,syn_u0017,osm_way_539993904,rating,2,2026-04-15,sunny,couple,true
syn_i000259,syn_u0017,osm_way_705214899,view,5,2026-04-28,sunny,couple,true
syn_i000260,syn_u0017,osm_way_173880366,view,4,2025-03-26,sunny,couple,true
syn_i000261,syn_u0017,osm_way_333931830,rating,4,2026-07-28,mild,couple,true
syn_i000262,syn_u0017,osm_way_706441141,save,5,2026-03-19,mild,couple,true
syn_i000263,syn_u0017,osm_way_872787186,rating,4,2025-12-07,sunny,couple,true
syn_i000264,syn_u0017,osm_node_12647784402,visit,3,2026-02-11,mild,couple,true
syn_i000265,syn_u0017,osm_way_333831453,visit,4,2025-08-27,sunny,couple,true
syn_i000266,syn_u0017,osm_way_766332787,save,5,2026-02-05,rain,couple,true
syn_i000267,syn_u0017,osm_way_337703701,rating,3,2026-03-02,rain,couple,true
syn_i000268,syn_u0017,osm_way_705309588,view,4,2025-01-07,rain,couple,true
syn_i000269,syn_u0017,osm_way_505597418,save,4,2025-10-23,hot,couple,true
syn_i000270,syn_u0017,osm_way_85321680,view,4,2026-03-13,hot,couple,true
syn_i000271,syn_u0017,osm_way_803486260,view,5,2025-01-20,sunny,couple,true
syn_i000272,syn_u0018,osm_way_973192268,rating,5,2026-06-22,sunny,solo,true
syn_i000273,syn_u0018,osm_way_708931486,save,5,2025-04-07,sunny,solo,true
syn_i000274,syn_u0018,osm_way_629363692,save,5,2025-05-02,rain,solo,true
syn_i000275,syn_u0018,osm_way_784938770,save,4,2026-07-16,hot,solo,true
syn_i000276,syn_u0018,osm_way_334890741,view,4,2025-09-30,rain,solo,true
syn_i000277,syn_u0018,osm_way_334598369,visit,4,2025-01-16,sunny,solo,true
syn_i000278,syn_u0018,osm_node_1207480649,view,5,2026-01-21,hot,solo,true
syn_i000279,syn_u0018,osm_way_743695066,visit,5,2025-02-18,hot,solo,true
syn_i000280,syn_u0018,osm_way_335293066,visit,4,2025-01-09,hot,solo,true
syn_i000281,syn_u0018,osm_node_13839395244,view,4,2026-02-16,mild,solo,true
syn_i000282,syn_u0018,osm_way_49887235,visit,5,2025-10-21,hot,solo,true
syn_i000283,syn_u0018,osm_node_8765431380,rating,3,2025-07-16,sunny,solo,true
syn_i000284,syn_u0018,osm_way_261314255,visit,3,2025-05-07,rain,solo,true
syn_i000285,syn_u0018,osm_way_1387913459,rating,5,2025-04-25,sunny,solo,true
syn_i000286,syn_u0019,osm_way_79288741,view,4,2025-04-30,sunny,family,true
syn_i000287,syn_u0019,osm_node_2053874881,visit,5,2026-04-20,hot,family,true
syn_i000288,syn_u0019,osm_node_368170974,visit,5,2025-10-13,mild,family,true
syn_i000289,syn_u0019,osm_node_2504421568,rating,5,2025-06-14,hot,family,true
syn_i000290,syn_u0019,osm_way_487056224,save,4,2025-06-30,sunny,family,true
syn_i000291,syn_u0019,osm_way_51538418,rating,3,2025-02-25,mild,family,true
syn_i000292,syn_u0019,osm_way_1020969909,rating,4,2025-04-25,mild,family,true
syn_i000293,syn_u0019,osm_relation_15082953,rating,5,2025-01-27,rain,family,true
syn_i000294,syn_u0019,osm_way_44501141,visit,4,2025-01-13,hot,family,true
syn_i000295,syn_u0019,osm_way_1035486245,view,5,2025-03-23,sunny,family,true
syn_i000296,syn_u0019,osm_way_362339141,visit,5,2025-01-14,sunny,family,true
syn_i000297,syn_u0019,osm_way_565565155,save,4,2026-07-21,mild,family,true
syn_i000298,syn_u0019,osm_node_368171598,view,1,2026-01-31,sunny,family,true
syn_i000299,syn_u0019,osm_node_5116143324,save,4,2025-10-27,sunny,family,true
syn_i000300,syn_u0020,osm_way_558691727,rating,4,2025-06-24,rain,solo,true
syn_i000301,syn_u0020,osm_way_323465395,rating,5,2026-07-06,hot,solo,true
syn_i000302,syn_u0020,osm_way_374899258,view,3,2026-03-31,rain,solo,true
syn_i000303,syn_u0020,osm_way_48331560,save,2,2025-03-18,sunny,solo,true
syn_i000304,syn_u0020,osm_way_201515695,rating,5,2025-04-12,hot,solo,true
syn_i000305,syn_u0020,osm_node_356845965,rating,4,2025-07-27,rain,solo,true
syn_i000306,syn_u0020,osm_relation_3420196,save,5,2025-09-18,rain,solo,true
syn_i000307,syn_u0020,osm_way_653968590,save,5,2026-01-20,mild,solo,true
syn_i000308,syn_u0020,osm_way_1114754683,rating,4,2025-08-04,rain,solo,true
syn_i000309,syn_u0020,osm_way_679251977,visit,3,2026-05-26,rain,solo,true
syn_i000310,syn_u0020,osm_relation_20814273,view,4,2025-05-01,mild,solo,true
syn_i000311,syn_u0021,osm_way_29566437,rating,5,2025-08-12,sunny,couple,true
syn_i000312,syn_u0021,osm_node_367777946,rating,5,2026-06-29,hot,couple,true
syn_i000313,syn_u0021,osm_relation_11188464,rating,4,2026-06-17,hot,couple,true
syn_i000314,syn_u0021,osm_way_29834711,save,5,2026-04-03,hot,couple,true
syn_i000315,syn_u0021,osm_way_43195988,view,5,2025-02-19,sunny,couple,true
syn_i000316,syn_u0021,osm_node_7650719480,rating,3,2025-04-12,sunny,couple,true
syn_i000317,syn_u0021,osm_way_181035324,save,4,2026-05-24,sunny,couple,true
syn_i000318,syn_u0021,osm_way_776291660,rating,3,2025-06-16,rain,couple,true
syn_i000319,syn_u0021,osm_way_917182498,rating,5,2025-02-06,mild,couple,true
syn_i000320,syn_u0021,osm_way_405144089,view,4,2026-04-04,sunny,couple,true
syn_i000321,syn_u0021,osm_node_257535644,visit,5,2026-05-13,hot,couple,true
syn_i000322,syn_u0021,osm_node_7693303124,rating,4,2025-08-29,hot,couple,true
syn_i000323,syn_u0021,osm_way_29860769,view,4,2025-11-30,mild,couple,true
